,batch_id,comparison_id,document_id,result,hit_id,worker_id,completed_at
866,24,5833,4987,1,3KWGG5KP6JCUU2QT25KLLPXI0LEMC4,AN3F3H70WHNAM,2015-10-15 09:04:25 UTC
867,24,5823,5008,1,3T8DUCXY0NGW9Z9AZIB65DR2O889TC,AN3F3H70WHNAM,2015-10-15 09:04:21 UTC
868,24,5823,5016,0,3T8DUCXY0NGW9Z9AZIB65DR2O889TC,AN3F3H70WHNAM,2015-10-15 09:04:21 UTC
869,24,5834,4989,0,3IKMEYR0LW5M6WYOK0IZUZWSZP6K2O,AN3F3H70WHNAM,2015-10-15 09:04:25 UTC
870,24,5834,4974,1,3IKMEYR0LW5M6WYOK0IZUZWSZP6K2O,AN3F3H70WHNAM,2015-10-15 09:04:25 UTC
871,24,5828,5006,1,3W0XM68YZP5FHBGS1WILPGMN7JSK17,A3G0T5Y7OSC76S,2015-10-15 09:04:23 UTC
872,24,5828,4983,0,3W0XM68YZP5FHBGS1WILPGMN7JSK17,A3G0T5Y7OSC76S,2015-10-15 09:04:23 UTC
873,24,5821,4974,1,3FHTJGYT8NADWH3BW78WSKCS3IHPGD,A142ZRU284W9O,2015-10-15 09:04:20 UTC
874,24,5821,5011,0,3FHTJGYT8NADWH3BW78WSKCS3IHPGD,A142ZRU284W9O,2015-10-15 09:04:20 UTC
875,24,5832,5016,0,33KGGVH24URL1BFZ0FXAFAUP3S81XE,A7XL1V3G7C2VV,2015-10-15 09:04:24 UTC
876,24,5832,5000,1,33KGGVH24URL1BFZ0FXAFAUP3S81XE,A7XL1V3G7C2VV,2015-10-15 09:04:24 UTC
877,24,5841,4987,1,3OJX0UFJ0ZHB9COZZN1GA9D47MF9U3,A2QLSHXNCHBRN4,2015-10-15 09:04:28 UTC
878,24,5841,4976,0,3OJX0UFJ0ZHB9COZZN1GA9D47MF9U3,A2QLSHXNCHBRN4,2015-10-15 09:04:28 UTC
879,24,5822,5011,0,3VMV5CHJZ8PBO9WIDOHGXUDPSL2TGM,A248P03SBIGVNH,2015-10-15 09:04:21 UTC
880,24,5822,5013,1,3VMV5CHJZ8PBO9WIDOHGXUDPSL2TGM,A248P03SBIGVNH,2015-10-15 09:04:21 UTC
881,24,5840,4972,0,3X0EMNLXEPZWEET6L27ISLF2QX6PV3,AOO39X8E3OJYY,2015-10-15 09:04:28 UTC
882,24,5840,4990,1,3X0EMNLXEPZWEET6L27ISLF2QX6PV3,AOO39X8E3OJYY,2015-10-15 09:04:28 UTC
883,24,5817,4991,1,3UY4PIS8QRVGPH1VY9A1H83R1EYN1G,A177EXELDLWTWV,2015-10-15 09:04:18 UTC
884,24,5817,4981,0,3UY4PIS8QRVGPH1VY9A1H83R1EYN1G,A177EXELDLWTWV,2015-10-15 09:04:18 UTC
885,24,5852,5020,1,3CZH926SICOTNAL1SSQKPJGLZ674EL,A7XL1V3G7C2VV,2015-10-15 09:04:31 UTC
886,24,5852,5001,0,3CZH926SICOTNAL1SSQKPJGLZ674EL,A7XL1V3G7C2VV,2015-10-15 09:04:31 UTC
887,24,5859,4999,0,3R4QIDVOJPMBFCIUHY2XY5SCCV0EE0,A9QYAH5BONH1W,2015-10-15 09:04:34 UTC
888,24,5859,4985,1,3R4QIDVOJPMBFCIUHY2XY5SCCV0EE0,A9QYAH5BONH1W,2015-10-15 09:04:34 UTC
889,24,5843,4990,1,3Z33IC0JC0WBMRDZ4DBL6VFNLTO9VS,A365SN61J4UNGR,2015-10-15 09:04:29 UTC
890,24,5843,4984,0,3Z33IC0JC0WBMRDZ4DBL6VFNLTO9VS,A365SN61J4UNGR,2015-10-15 09:04:29 UTC
891,24,5856,5003,1,3EQVJH0T40VPO5RTXUZYIUPQ7LFTHL,A1NITMHYG5YL3H,2015-10-15 09:04:33 UTC
892,24,5856,4969,0,3EQVJH0T40VPO5RTXUZYIUPQ7LFTHL,A1NITMHYG5YL3H,2015-10-15 09:04:33 UTC
893,24,5844,5015,1,378G7J1SJL85WC4L2YW3KBZCJZ5WEY,A38VMTKS30TQZB,2015-10-15 09:04:29 UTC
894,24,5844,5003,0,378G7J1SJL85WC4L2YW3KBZCJZ5WEY,A38VMTKS30TQZB,2015-10-15 09:04:29 UTC
895,24,5854,5007,1,3AC6MFV69KSLAH0S3MOG4IQ7SH1ZH7,A13VIJ7G997ZCY,2015-10-15 09:04:32 UTC
896,24,5854,4982,0,3AC6MFV69KSLAH0S3MOG4IQ7SH1ZH7,A13VIJ7G997ZCY,2015-10-15 09:04:32 UTC
897,24,5846,4998,1,3L21G7IH476A1G595BJCYO1Y5Y21YK,AR8AWAHW7PAZT,2015-10-15 09:04:30 UTC
898,24,5846,5010,0,3L21G7IH476A1G595BJCYO1Y5Y21YK,AR8AWAHW7PAZT,2015-10-15 09:04:30 UTC
899,24,5857,4978,1,36MUZ9VAE6C6N64UL3RDSNARCJZED7,AN3F3H70WHNAM,2015-10-15 09:04:33 UTC
900,24,5857,4997,0,36MUZ9VAE6C6N64UL3RDSNARCJZED7,AN3F3H70WHNAM,2015-10-15 09:04:33 UTC
901,24,5850,4969,0,3CVDZS288HA1XEA3T7AMTVILXY6MFF,A2G4HMUKKEDQXC,2015-10-15 09:04:31 UTC
902,24,5850,4988,1,3CVDZS288HA1XEA3T7AMTVILXY6MFF,A2G4HMUKKEDQXC,2015-10-15 09:04:31 UTC
903,24,5845,5000,0,3R868ACW4SM7AL5HJG6YJIE6DHOZG8,AMVBZXM810ZMA,2015-10-15 09:04:29 UTC
904,24,5845,4998,1,3R868ACW4SM7AL5HJG6YJIE6DHOZG8,AMVBZXM810ZMA,2015-10-15 09:04:29 UTC
905,24,5847,5002,0,32W3UF2EZOVEQC1NW1KPZVGIEUU4CS,A1HTIP6ZI9TJU2,2015-10-15 09:04:30 UTC
